Entry,Underlying,POS,Definition,SC,Etymology,Related,Examples,Usage,Notes,Sources
ehahpalihkeeng,,,"carpet, rug",Manmade,reduplicative ahpalihkeew + -ung?,,,,,
awehleeshoosh,,na,bird,Animals,awehleew+-ush+-ush (small small hawk),,,,,DED 335
tiitiis,,na,bluejay,Animals,from Proto-Algonquian ti·nti·wa,,,,,Goddard (1979)
aamweew,,na,bee,Animals,from Proto-Algonquian a·mo·we·wa,,,,,Goddard (1982)
awehleew,,na,eagle;hawk,Animals,from Proto-Algonquian awe·ʔre·wa,,,,,http://www.native-languages.org/munsee.htm
maxkw,,na,bear,Animals,from Proto-Algonquian maθkwa,,,,,http://www.native-languages.org/munsee.htm
namees,,na,fish,Animals,from Proto-Algonquian name·ʔsa,,,,,http://www.native-languages.org/munsee.htm
aahaas,,na,crow,Animals,"imitative, reduplicative?",,,,,http://www.native-languages.org/munsee.htm
ato[h],,na,deer,Animals,from Proto-Algonquian atehkwa,,,,,http://www.native-languages.org/munsee.htm
axkook,,na,snake,Animals,from Proto-Algonquian aθko·ka,,,,,http://www.native-languages.org/munsee.htm
lunuw,,na,man,Animals,from Proto-Algonquian erenyiwa,,,,,http://www.native-languages.org/munsee.htm
kookhoos,,na,owl,Animals,from Proto-Algonquian ko·hko·hkoho·wa,,,,,http://www.native-languages.org/munsee.htm
moos,,na,moose,Animals,from Proto-Algonquian mo·swa,,,,,http://www.native-languages.org/munsee.htm
waapsuwihleew,,na,goose,Animals,waapsuw+awehleew (white bird),,,,,http://www.native-languages.org/munsee.htm
mwaakaneew,,na,dog,Animals,,,,,,http://www.native-languages.org/munsee.htm
xwaaluwees,,na,fox,Animals,,,,,,http://www.native-languages.org/munsee.htm
nehnayoongus,,na,horse,Animals,,,,,,http://www.native-languages.org/munsee.htm
takwax,,na,turtle,Animals,,,,,,http://www.native-languages.org/munsee.htm
laaweewapooshiish,,na,"wildcat, bobcat",Animals,,,,,laaweewii=wild + pooshiish=cat,http://www.native-languages.org/munsee.htm
wiixcheew,,na,wolf,Animals,,,,,,http://www.native-languages.org/munsee.htm
wiisaawaniikwus;psakwulunjeew,,na,squirrel,Animals,from -iikw,,,,,"http://www.native-languages.org/munsee.htm
 https://web.archive.org/web/20120807180749/http://www.lenape.ca/week8.html"
eespan;eespun,,na,raccoon,Animals,from Proto-Algonquian e·hsepana,,,,,"http://www.native-languages.org/munsee.htm
 https://web.archive.org/web/20120807180749/http://www.lenape.ca/week8.html"
mooshkiing;mooshkiingw;mooshkiingwus,,na,rabbit,Animals,,,,,,"http://www.native-languages.org/munsee.htm
 https://web.archive.org/web/20120807180749/http://www.lenape.ca/week8.html"
chuloochulooch,,na,cricket,Animals,"imitative, reduplicative?",,,,,https://web.archive.org/web/20120807180610/http://www.lenape.ca/week5.html
amoxkw,,na,beaver,Animals,,,,,,https://web.archive.org/web/20120807180610/http://www.lenape.ca/week5.html
